Brand name,brand website,facebook link,instagram link
"2020CV","http://2020cv.com/","https://www.facebook.com/2020cv",""
"Yendo","https://www.yendo.com/","https://www.facebook.com/JoinYendo/","https://www.instagram.com/joinyendo/?hl=en"
"Cause Reports","https://www.causereports.com/","",""
"Savrpak","https://savrpak.com/","https://www.facebook.com/SAVRpak","https://www.instagram.com/savrpak/?hl=en"
"3Data","https://3data.io/","https://www.facebook.com/3DataCloud/",""
"Alethia.ai","https://alethea.ai/","",""
"Allstar Gaming","https://allstar.gg/","https://www.facebook.com/PlayShareStar/","https://www.instagram.com/playsharestar/"
"Allure Systems","https://www.alluresystems.com/","","https://www.instagram.com/alluresystems_/"
"Almost Friday Media","http://www.almostfriday.com/","","https://www.instagram.com/friday.beers/"
"Alyssa’s Bakery","https://alyssascookies.com/","https://www.facebook.com/alyssashealthycookie/","https://www.instagram.com/alyssascookies/"
"AngelHack Corporation","https://angelhack.com/","https://www.facebook.com/AngelHackHQ/",""
"Apptopia","https://apptopia.com/","",""
"Arbitrum","https://arbitrum.io/","",""
"Artists Den Entertainment","https://artistsden.com/","https://www.facebook.com/artistsden/","https://www.instagram.com/artistsden/"
"AXS TV","http://www.axs.tv/","http://www.facebook.com/axstv","http://www.instagram.com/axstv"
"Bala","https://shopbala.com/","https://www.facebook.com/balabangles","https://www.instagram.com/bala/"
"Baozza","http://www.baozza.com/","https://www.facebook.com/baozza","https://www.instagram.com/baozza/"
"Bequest Finance","https://www.bequest.finance/","",""
"Billshark","https://www.billshark.com/","https://www.facebook.com/realbillshark/","https://www.instagram.com/realbillshark/"
"Biolinq","","",""
"Biomeme","https://www.biomeme.com/","",""
"BizToc","https://biztoc.com/","https://www.facebook.com/biztoc","https://www.instagram.com/biztoc"
"Blocto","https://blocto.portto.com/","",""
"Bold Metrics","https://www.boldmetrics.com/","https://www.facebook.com/boldmetrics",""
"Brightwheel","https://mybrightwheel.com/","https://www.facebook.com/mybrightwheel/","https://www.instagram.com/mybrightwheel"
"Brondell","https://www.brondell.com/","https://www.facebook.com/Brondell.Inc/","https://www.instagram.com/brondell_inc/"
"BSB Brown Sugar Bourbon","https://brownsugarbourbon.com/","https://www.facebook.com/brownsugarbourbon","https://www.instagram.com/brownsugarbourbon/"
"Campus Ink","https://campus.ink/","","https://www.instagram.com/campus.ink/"
"Catalant","https://gocatalant.com/","https://www.facebook.com/GoCatalant/",""
"Catapult","https://www.catapultsports.com/","https://www.facebook.com/catapultsports/","https://www.instagram.com/catapultsports/"
"Cerebro Sports","","https://www.facebook.com/cerebrosports","https://instagram.com/cerebrosports"
"ChangEd","https://www.gochanged.com/","https://www.facebook.com/changedapp","https://www.instagram.com/changedapp/"
"Chapul","https://www.chapul.com/","https://www.facebook.com/ChapulRevolution/","https://www.instagram.com/chapulrevolution/"
"Chirps Chips","https://eatchirps.com/","https://www.facebook.com/eatchirps/","https://instagram.com/eatchirps/"
"CivicScience","https://civicscience.com/","https://www.facebook.com/CivicScience",""
"Clipbook","http://clipbook.io/","",""
"collegedebt.com","http://www.collegedebt.com/","",""
